Global ID,Bank,#,Original Question,Simplified Question,Answer Options,Correct Answer,Classification,Why This Matters (Plain Language),Source,Source Details
54,Risk Literacy (30),24,Suppose you have the choice between a sure payment of $50 or a lottery where you have a 50% chance of winning $100 and a 50% chance of winning nothing. Which option has the higher expected value?,Which is worth more on average: A guaranteed $50 OR a 50-50 chance at $100 or nothing?,"A) The sure payment of $50
B) The lottery
C) Both have the same expected value
D) Do not know",C) Both have the same expected value,Expected Value - Lottery vs. Certain Outcome,SAME value. Lottery: 50% × $100 + 50% × $0 = $50 on average. Sure thing = $50. Mathematically equal. Your choice depends on how you feel about risk - neither is 'wrong.',Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
55,Risk Literacy (30),25,"You have two investment options. Investment A has a 60% chance of gaining $1,000 and a 40% chance of losing $500. Investment B has a guaranteed return of $400. Which investment has the higher expected value?","Which is worth more on average? Option A: 60% chance to win $1,000, 40% chance to lose $500. Option B: Guaranteed $400.","A) Investment A
B) Investment B
C) Both have the same expected value
D) Do not know",C) Both have the same expected value,Expected Value - Investment Comparison,"SAME value. A: (60% × $1,000) + (40% × -$500) = $600 - $200 = $400. B: $400. Both average $400. The difference is A has uncertainty, B is certain. Choose based on your comfort with risk.",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
56,Risk Literacy (30),26,Which of the following types of investment would best protect the purchasing power of a family's savings in the event of a sudden increase in inflation?,"If prices suddenly shoot up (inflation), which protects your money best: a fixed-rate bond, a bank CD, or a house with a fixed-rate mortgage?","A) A 10-year bond paying a fixed rate of interest
B) A certificate of deposit at a bank
C) A 25-year home mortgage at a fixed rate
D) A house financed with a fixed-rate mortgage
E) Do not know",D) A house financed with a fixed-rate mortgage,Investment Risk - Inflation Risk,"The HOUSE. Real assets (like houses) typically rise with inflation, while your fixed mortgage payment stays the same. Bonds and CDs pay fixed amounts that buy less when prices rise. You win when your asset grows but your debt doesn't.",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
57,Risk Literacy (30),27,Which type of risk can be reduced through diversification?,"Which type of risk can you reduce by spreading your investments: the risk from ONE company's problems, or the risk from the WHOLE market crashing?","A) Market risk (systematic risk)
B) Company-specific risk (unsystematic risk)
C) Both types of risk equally
D) Neither type of risk
E) Do not know",B) Company-specific risk (unsystematic risk),Investment Risk - Risk Types,"Company-specific risk. If one company has problems, owning many stocks protects you. But market-wide events (recessions, wars) affect everything - you can't diversify away from those. That's why even diversified portfolios drop in crashes.",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
58,Risk Literacy (30),28,True or false: Stocks are generally riskier than bonds.,Are stocks generally RISKIER than bonds?,"A) True
B) False
C) Do not know",A) True,Investment Risk - Asset Class Risk,"TRUE. Stocks = ownership, prices swing widely. Bonds = loans, more stable payments. Stocks offer higher long-term returns but with more ups and downs. Young investors often hold more stocks; retirees shift to bonds.",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
59,Risk Literacy (30),29,"A disease affects 1 in 1,000 people. A test for the disease is 99% accurate (it correctly identifies 99% of people who have the disease and 99% of people who don't have it). If a person tests positive, what is the approximate probability they actually have the disease?","A rare disease affects 1 in 1,000 people. A test is 99% accurate. If you TEST POSITIVE, what's the chance you're actually sick?","A) About 99%
B) About 50%
C) About 10%
D) About 1%
E) Do not know",C) About 10%,Statistical Numeracy - Base Rate/Bayes,"Only about 10%! Out of 1,000 people: 1 is sick (tests positive), 999 aren't (but ~10 falsely test positive). So ~11 positives total, only 1 truly sick = ~9%. Rare diseases produce many false positives. That's why doctors order follow-up tests.",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
60,Risk Literacy (30),30,What is the approximate probability that at least one member of a 65-year-old couple today will live to age 90 or beyond?,"For a couple who are both 65 years old, what's the chance that AT LEAST ONE of them will live to 90?","A) Less than 25%
B) About 25-40%
C) About 50-60%
D) More than 60%
E) Do not know",C) About 50-60%,Longevity Risk - Retirement Planning,"About 50-60%! People underestimate how long they'll live. For a couple, you only need ONE to reach 90. Even if each has a 40% individual chance, the combined probability is much higher. Plan for 25-30+ years of retirement!",Risk_Literacy_Questions_30_Simplified.xlsx,Risk numeracy / risk literacy item bank.
61,Behavioral Financial Literacy (docx),26,"You receive a $10,000 bonus. What would you most likely do with it?",,"A) Put it in a high-interest savings account for safety
B) Invest it in mutual funds or ETFs for steady growth
C) Buy individual stocks with potential for high return
D) Spend most of it and save the rest later",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
62,Behavioral Financial Literacy (docx),27,Your retirement account drops 20% due to a market downturn. How do you react?,,"A) Sell everything ,I can’t risk losing more
B) Do nothing ,markets recover over time
C) Invest more ,buy while prices are low
D) Move funds to safer options like bonds or cash",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
63,Behavioral Financial Literacy (docx),28,You’re choosing between two job offers. Which do you take?,,"A) A stable job with predictable pay and benefits
B) A job with performance-based pay and higher upside
C) Depends on what others in my network recommend
D) Whichever feels right in the moment",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
64,Behavioral Financial Literacy (docx),29,What does “risk” mean to you when it comes to financial decisions?,,"A) The chance I could lose money
B) The opportunity to earn a higher return
C) Something unpredictable that needs to be managed
D) I’m not sure",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
65,Behavioral Financial Literacy (docx),30,"You’re offered a 50/50 chance to either win $1,000 or lose $500. What do you choose?",,"A) Take the risk , the reward is worth it
B) Decline , I don’t like the idea of losing money
C) Only accept if I have money to spare
D) Ask others what they would do",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
66,Behavioral Financial Literacy (docx),31,Which scenario worries you more?,,"A) Losing $5,000 on an investment
B) Missing out on a $5,000 gain
C) Both equally
D) Neither really worries me",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
67,Behavioral Financial Literacy (docx),32,You hear that everyone is investing in a new crypto asset. What do you do?,,"A) Invest quickly, don’t miss out
B) Put in a small amount just in case
C) Research carefully before acting
D) Stay out, I avoid hype",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
68,Behavioral Financial Literacy (docx),33,"When planning for retirement, how do you factor in risk?",,"A) I ignore it, retirement is far away
B) I aim for high growth regardless
C) I diversify and rebalance regularly
D) I rely on my advisor to guide me",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
69,Behavioral Financial Literacy (docx),34,"You lose $1,000 in an investment. What’s your emotional reaction?",,"A) Angry and anxious
B) Concerned but calm
C) Indifferent
D) Curious to understand why",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
70,Behavioral Financial Literacy (docx),35,What motivates your financial decisions most?,,"A) Fear of loss
B) Desire for growth
C) Long-term security
D) Pressure from others",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
71,Behavioral Financial Literacy (docx),36,"When faced with a complex financial decision, how do you typically proceed?",,"A) Do extensive research and consider all outcomes
B) Go with your intuition or gut feeling
C) Rely on advice from friends or family
D) Delay the decision until you feel more confident",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
72,Behavioral Financial Literacy (docx),37,How confident are you in recognizing when an investment is too risky for your situation?,,"A) Very confident , I understand my risk limits
B) Somewhat confident , I can tell when it’s extreme
C) Not very confident , I often second-guess
D) I usually rely on others to decide for me",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
73,Behavioral Financial Literacy (docx),38,What best describes your attitude toward risk?,,"A) I avoid risk as much as possible
B) I’m okay with small risks for modest gains
C) I take calculated risks for higher rewards
D) I actively seek out high-risk, high-reward opportunities",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
74,Behavioral Financial Literacy (docx),39,"You are given two investment choices: one guarantees a 4% return, the other has a 50/50 chance of either 0% or 8%. What do you choose?",,"A) The 4% guaranteed return
B) The 50/50 option
C) I’m indifferent
D) I’d split my investment between the two",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
75,Behavioral Financial Literacy (docx),40,"If your long-term investment underperforms for a year, what would you most likely do?",,"A) Sell and look for a better option
B) Reduce investment but stay in
C) Stay the course
D) Invest more to lower the average cost",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
76,Behavioral Financial Literacy (docx),41,How do you define a “successful” investment?,,"A) One that doesn’t lose money
B) One that beats inflation
C) One that aligns with my financial goals
D) One that produces the highest return, regardless of risk",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
77,Behavioral Financial Literacy (docx),42,"When making financial decisions, how often do you consider the potential downside risk?",,"A) Never
B) Rarely
C) Sometimes
D) Always",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
78,Behavioral Financial Literacy (docx),43,Imagine you’re offered two jobs. Job A pays more but has uncertain income and less security. Job B pays less but is stable. Which do you choose?,,"A) Definitely Job A
B) Probably Job A
C) Probably Job B
D) Definitely Job B",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
79,Behavioral Financial Literacy (docx),44,"If an investment opportunity promises unusually high returns with little explanation of how, what do you do?",,"A) Invest a small amount just to test it
B) Ask for more details and do research
C) Avoid it ,it seems too good to be true
D) Immediately take advantage before it’s gone",,Behavioral Financial Literacy,,Behavioral Financial Literacy questions.docx,Behavioral question set provided in DOCX (Professor Abol paper/compilation).
80,Additional Item (Crisis),1,What was a key factor contributing to the 2007 to 2008 financial crisis?,,"A) Strong regulation of mortgage lending
B) Widespread failure to properly assess and manage financial risk
C) High household savings rates
D) Low levels of borrowing by households",B) Widespread failure to properly assess and manage financial risk,Crisis/Systemic Risk,,Provided by user (crisis question screenshot),Extra crisis question to include alongside item banks.
